総額(万),家賃(万),管理費(円),物件名,間取り,面積,階,築年,構造,最寄り駅,徒歩(分),桜木町(分),路線,区,犯罪率(‰),所在地,敷/礼,物件ページ
3.4,3.4,0,朝日プラザ希望ヶ丘,1R,16.08㎡,3,40,鉄筋コンクリート,希望ケ丘,7,26,相鉄本線,旭区,4.61,神奈川県横浜市旭区東希望が丘,敷 6.8万円 / 礼 なし,https://realestate.yahoo.co.jp/rent/detail/00000298759678c75fe4c90f7145cf125e2cb0f09fe5/
3.5,3.5,0,スカイコート西谷,1R,13.81㎡,4,39,鉄筋コンクリート,西谷,5,21,相鉄本線,保土ケ谷区,3.99,神奈川県横浜市保土ヶ谷区西谷町,敷 なし※ / 礼 なし,https://realestate.yahoo.co.jp/rent/detail/000001080737afd650ed8264427fbbb4c470e260ab07/
3.8,3.8,0,山中ビル,1R,14.4㎡,3,38,鉄骨,山手,3,7,JR根岸線,中区,11.11,神奈川県横浜市中区大和町2,敷 3.8万円 / 礼 なし,https://realestate.yahoo.co.jp/rent/detail/0000033420592afa395dcd8c166ffff2a4eba19351e8/
3.8,3.5,3000,Hill Top二俣川,1R,17㎡,3,39,鉄筋コンクリート,二俣川,12,24,相鉄本線,旭区,4.61,神奈川県横浜市旭区さちが丘,敷 3.5万円 / 礼 3.5万円,https://realestate.yahoo.co.jp/rent/detail/00000120531154c43c24c08099ac47d04a1347d4e95b/
3.8,3.5,3000,エクセルピア戸塚,1R,18㎡,3,40,鉄骨,舞岡,38,22,ブルーライン,戸塚区,4.08,神奈川県横浜市戸塚区下倉田町,敷 なし / 礼 なし,https://realestate.yahoo.co.jp/rent/detail/000001539540cc8d96c42a106e1a9e9d2caf32a2418b/
3.9,3.9,0,スカイコート横浜黄金町,1R,16.1㎡,3,38,鉄筋コンクリート,黄金町,3,10,京急本線,南区,3.93,神奈川県横浜市南区西中町2,敷 5万円 / 礼 3.9万円,https://realestate.yahoo.co.jp/rent/detail/000003369894ffd05f08ea8e87964477bf77fc0eed2e/
3.9,3.3,6000,スカイコート横浜富岡,1R,16.92㎡,3,37,鉄筋コンクリート,京急富岡,6,27,京急本線,金沢区,5.5,神奈川県横浜市金沢区富岡西7,敷 4万円 / 礼 なし,https://realestate.yahoo.co.jp/rent/detail/0000024937230e3f24aeab85b5158e7d58e34eef7213/
3.9,3.3,6000,京急本線 京急富岡駅 5階建 築37年,1R,16.92㎡,3,37,鉄筋コンクリート,京急富岡,7,27,京急本線,金沢区,5.5,神奈川県横浜市金沢区富岡西7,敷 4万円 / 礼 なし,https://realestate.yahoo.co.jp/rent/detail/_0000024937230e3f24aeab85b5158e7d58e34eef7213/
3.9,3.7,2000,ヒロタマンション平沼橋,1R,13.7㎡,3,37,鉄骨,戸部,8,10,京急本線,西区,14.14,神奈川県横浜市西区中央2,敷 なし / 礼 なし,https://realestate.yahoo.co.jp/rent/detail/0000067803374d95c097829281b32233ae0321b3eca1/
4.0,3.8,2000,コスモAoi能見台,1R,17.62㎡,3,37,鉄骨,能見台,6,29,京急本線,金沢区,5.5,神奈川県横浜市金沢区能見台通,敷 3.8万円 / 礼 なし,https://realestate.yahoo.co.jp/rent/detail/0000018879915c8ca7d0bfce18288e379c9c742e6cbc/
